date,mean_temperature,daylength,site,PAR_incident
2000_06_03,15,15.61083333,QUELQUEPART,
2000_06_04,15,15.63361111,QUELQUEPART,
2000_06_05,15,15.65472222,QUELQUEPART,
2000_06_06,15,15.675,QUELQUEPART,
2000_06_07,15,15.69388889,QUELQUEPART,
2000_06_08,15,15.71166667,QUELQUEPART,
2000_06_09,15,15.72833333,QUELQUEPART,
2000_06_10,15,15.74361111,QUELQUEPART,
2000_06_11,15,15.7575,QUELQUEPART,
2000_06_12,15,15.77055556,QUELQUEPART,
2000_06_13,15,15.78222222,QUELQUEPART,
2000_06_14,15,15.79222222,QUELQUEPART,
2000_06_15,15,15.80111111,QUELQUEPART,
2000_06_16,15,15.80888889,QUELQUEPART,
2000_06_17,15,15.81527778,QUELQUEPART,
2000_06_18,15,15.82027778,QUELQUEPART,
2000_06_19,15,15.82388889,QUELQUEPART,
2000_06_20,15,15.82638889,QUELQUEPART,
2000_06_21,15,15.8275,QUELQUEPART,
2000_06_22,15,15.82722222,QUELQUEPART,
2000_06_23,15,15.82555556,QUELQUEPART,
2000_06_24,15,15.82277778,QUELQUEPART,
2000_06_25,15,15.81888889,QUELQUEPART,
2000_06_26,15,15.81333333,QUELQUEPART,
2000_06_27,15,15.80638889,QUELQUEPART,
2000_06_28,15,15.79833333,QUELQUEPART,
2000_06_29,15,15.78861111,QUELQUEPART,
2000_06_30,15,15.77805556,QUELQUEPART,
2000_07_01,15,15.76611111,QUELQUEPART,
2000_07_02,15,15.75305556,QUELQUEPART,
2000_07_03,15,15.73861111,QUELQUEPART,
2000_07_04,15,15.72277778,QUELQUEPART,
2000_07_05,15,15.70583333,QUELQUEPART,
2000_07_06,15,15.68777778,QUELQUEPART,
2000_07_07,15,15.66861111,QUELQUEPART,
2000_07_08,15,15.64805556,QUELQUEPART,
2000_07_09,15,15.62638889,QUELQUEPART,
2000_07_10,15,15.60361111,QUELQUEPART,
2000_07_11,15,15.58,QUELQUEPART,
2000_07_12,15,15.555,QUELQUEPART,
2000_07_13,15,15.52916667,QUELQUEPART,
2000_07_14,15,15.50194444,QUELQUEPART,
2000_07_15,15,15.47388889,QUELQUEPART,
2000_07_16,15,15.44472222,QUELQUEPART,
2000_07_17,15,15.41472222,QUELQUEPART,
2000_07_18,15,15.38388889,QUELQUEPART,
2000_07_19,15,15.35166667,QUELQUEPART,
2000_07_20,15,15.31916667,QUELQUEPART,
2000_07_21,15,15.28555556,QUELQUEPART,
2000_07_22,15,15.25083333,QUELQUEPART,
2000_07_23,15,15.21555556,QUELQUEPART,
2000_07_24,15,15.17916667,QUELQUEPART,
2000_07_25,15,15.14222222,QUELQUEPART,
2000_07_26,15,15.10472222,QUELQUEPART,
2000_07_27,15,15.06611111,QUELQUEPART,
2000_07_28,15,15.02694444,QUELQUEPART,
2000_07_29,15,14.98694444,QUELQUEPART,
2000_07_30,15,14.94638889,QUELQUEPART,
2000_07_31,15,14.90527778,QUELQUEPART,
2000_08_01,15,14.86333333,QUELQUEPART,
2000_08_02,15,14.82083333,QUELQUEPART,
2000_08_03,15,14.77777778,QUELQUEPART,
2000_08_04,15,14.73416667,QUELQUEPART,
2000_08_05,15,14.69,QUELQUEPART,
2000_08_06,15,14.64527778,QUELQUEPART,
2000_08_07,15,14.60027778,QUELQUEPART,
2000_08_08,15,14.55444444,QUELQUEPART,
2000_08_09,15,14.50833333,QUELQUEPART,
2000_08_10,15,14.46166667,QUELQUEPART,
2000_08_11,15,14.41444444,QUELQUEPART,
2000_08_12,15,14.36722222,QUELQUEPART,
2000_08_13,15,14.31944444,QUELQUEPART,
2000_08_14,15,14.27111111,QUELQUEPART,
2000_08_15,15,14.2225,QUELQUEPART,
2000_08_16,15,14.17361111,QUELQUEPART,
2000_08_17,15,14.12444444,QUELQUEPART,
2000_08_18,15,14.07472222,QUELQUEPART,
2000_08_19,15,14.02472222,QUELQUEPART,
2000_08_20,15,13.97472222,QUELQUEPART,
2000_08_21,15,13.92416667,QUELQUEPART,
2000_08_22,15,13.87333333,QUELQUEPART,
2000_08_23,15,13.8225,QUELQUEPART,
2000_08_24,15,13.77138889,QUELQUEPART,
2000_08_25,15,13.71972222,QUELQUEPART,
2000_08_26,15,13.66805556,QUELQUEPART,
2000_08_27,15,13.61638889,QUELQUEPART,
2000_08_28,15,13.56416667,QUELQUEPART,
2000_08_29,15,13.51166667,QUELQUEPART,
2000_08_30,15,13.45944444,QUELQUEPART,
2000_08_31,15,13.40694444,QUELQUEPART,
2000_09_01,15,13.35416667,QUELQUEPART,
2000_09_02,15,13.30138889,QUELQUEPART,
2000_09_03,15,13.24805556,QUELQUEPART,
2000_09_04,15,13.19472222,QUELQUEPART,
2000_09_05,15,13.14166667,QUELQUEPART,
2000_09_06,15,13.08805556,QUELQUEPART,
2000_09_07,15,13.03444444,QUELQUEPART,
2000_09_08,15,12.98083333,QUELQUEPART,
2000_09_09,15,12.92694444,QUELQUEPART,
2000_09_10,15,12.87333333,QUELQUEPART,
2000_09_11,15,12.81916667,QUELQUEPART,
2000_09_12,15,12.765,QUELQUEPART,
2000_09_13,15,12.71111111,QUELQUEPART,
2000_09_14,15,12.65666667,QUELQUEPART,
2000_09_15,15,12.6025,QUELQUEPART,
2000_09_16,15,12.54805556,QUELQUEPART,
2000_09_17,15,12.49388889,QUELQUEPART,
2000_09_18,15,12.43944444,QUELQUEPART,
2000_09_19,15,12.38527778,QUELQUEPART,
2000_09_20,15,12.33083333,QUELQUEPART,
2000_09_21,15,12.27611111,QUELQUEPART,
2000_09_22,15,12.22166667,QUELQUEPART,
2000_09_23,15,12.16722222,QUELQUEPART,
2000_09_24,15,12.11277778,QUELQUEPART,
2000_09_25,15,12.05833333,QUELQUEPART,
2000_09_26,15,12.00361111,QUELQUEPART,
2000_09_27,15,11.94916667,QUELQUEPART,
2000_09_28,15,11.89472222,QUELQUEPART,
2000_09_29,15,11.84027778,QUELQUEPART,
2000_09_30,15,11.78555556,QUELQUEPART,
2000_10_01,15,11.73138889,QUELQUEPART,
2000_10_02,15,11.67694444,QUELQUEPART,
2000_10_03,15,11.6225,QUELQUEPART,
2000_10_04,15,11.56833333,QUELQUEPART,
2000_10_05,15,11.51388889,QUELQUEPART,
2000_10_06,15,11.45972222,QUELQUEPART,
2000_10_07,15,11.40555556,QUELQUEPART,
2000_10_08,15,11.35166667,QUELQUEPART,
2000_10_09,15,11.2975,QUELQUEPART,
2000_10_10,15,11.24361111,QUELQUEPART,
2000_10_11,15,11.18972222,QUELQUEPART,
2000_10_12,15,11.13583333,QUELQUEPART,
2000_10_13,15,11.08222222,QUELQUEPART,
2000_10_14,15,11.02888889,QUELQUEPART,
2000_10_15,15,10.97527778,QUELQUEPART,
2000_10_16,15,10.92222222,QUELQUEPART,
2000_10_17,15,10.86944444,QUELQUEPART,
2000_10_18,15,10.81611111,QUELQUEPART,
2000_10_19,15,10.76361111,QUELQUEPART,
2000_10_20,15,10.71111111,QUELQUEPART,
2000_10_21,15,10.65888889,QUELQUEPART,
2000_10_22,15,10.60666667,QUELQUEPART,
2000_10_23,15,10.55472222,QUELQUEPART,
2000_10_24,15,10.50305556,QUELQUEPART,
2000_10_25,15,10.45166667,QUELQUEPART,
2000_10_26,15,10.40055556,QUELQUEPART,
2000_10_27,15,10.34972222,QUELQUEPART,
2000_10_28,15,10.29916667,QUELQUEPART,
2000_10_29,15,10.24888889,QUELQUEPART,
2000_10_30,15,10.19888889,QUELQUEPART,
2000_10_31,15,10.14916667,QUELQUEPART,
2000_11_01,15,10.1,QUELQUEPART,
2000_11_02,15,10.05111111,QUELQUEPART,
2000_11_03,15,10.0025,QUELQUEPART,
2000_11_04,15,9.954444444,QUELQUEPART,
2000_11_05,15,9.906666667,QUELQUEPART,
2000_11_06,15,9.859722222,QUELQUEPART,
2000_11_07,15,9.8125,QUELQUEPART,
2000_11_08,15,9.766388889,QUELQUEPART,
2000_11_09,15,9.720555556,QUELQUEPART,
2000_11_10,15,9.675277778,QUELQUEPART,
2000_11_11,15,9.630555556,QUELQUEPART,
2000_11_12,15,9.586666667,QUELQUEPART,
2000_11_13,15,9.543055556,QUELQUEPART,
2000_11_14,15,9.500277778,QUELQUEPART,
2000_11_15,15,9.458333333,QUELQUEPART,
2000_11_16,15,9.416666667,QUELQUEPART,
2000_11_17,15,9.375833333,QUELQUEPART,
2000_11_18,15,9.335833333,QUELQUEPART,
2000_11_19,15,9.296388889,QUELQUEPART,
2000_11_20,15,9.258055556,QUELQUEPART,
2000_11_21,15,9.220555556,QUELQUEPART,
2000_11_22,15,9.183611111,QUELQUEPART,
2000_11_23,15,9.147777778,QUELQUEPART,
2000_11_24,15,9.112777778,QUELQUEPART,
2000_11_25,15,9.078333333,QUELQUEPART,
2000_11_26,15,9.045277778,QUELQUEPART,
2000_11_27,15,9.013333333,QUELQUEPART,
2000_11_28,15,8.981944444,QUELQUEPART,
2000_11_29,15,8.951666667,QUELQUEPART,
2000_11_30,15,8.922777778,QUELQUEPART,
2000_12_01,15,8.894444444,QUELQUEPART,
2000_12_02,15,8.867777778,QUELQUEPART,
2000_12_03,15,8.841944444,QUELQUEPART,
2000_12_04,15,8.817222222,QUELQUEPART,
2000_12_05,15,8.793888889,QUELQUEPART,
2000_12_06,15,8.771944444,QUELQUEPART,
2000_12_07,15,8.750833333,QUELQUEPART,
2000_12_08,15,8.731111111,QUELQUEPART,
2000_12_09,15,8.712777778,QUELQUEPART,
2000_12_10,15,8.695555556,QUELQUEPART,
2000_12_11,15,8.68,QUELQUEPART,
2000_12_12,15,8.665277778,QUELQUEPART,
2000_12_13,15,8.652222222,QUELQUEPART,
2000_12_14,15,8.640277778,QUELQUEPART,
2000_12_15,15,8.63,QUELQUEPART,
2000_12_16,15,8.621111111,QUELQUEPART,
2000_12_17,15,8.613333333,QUELQUEPART,
2000_12_18,15,8.6075,QUELQUEPART,
2000_12_19,15,8.6025,QUELQUEPART,
2000_12_20,15,8.599166667,QUELQUEPART,
2000_12_21,15,8.597222222,QUELQUEPART,
2000_12_22,15,8.596666667,QUELQUEPART,
2000_12_23,15,8.597777778,QUELQUEPART,
2000_12_24,15,8.600277778,QUELQUEPART,
2000_12_25,15,8.604166667,QUELQUEPART,
2000_12_26,15,8.609444444,QUELQUEPART,
2000_12_27,15,8.616111111,QUELQUEPART,
2000_12_28,15,8.624166667,QUELQUEPART,
2000_12_29,15,8.633611111,QUELQUEPART,
2000_12_30,15,8.644444444,QUELQUEPART,
2000_12_31,15,8.656944444,QUELQUEPART,
