date,mean_temperature,daylength,site,PAR_incident
2019_01_17,4,8,treatment_1,2
2019_01_18,4,8,treatment_1,2
2019_01_19,4,8,treatment_1,2
2019_01_20,4,8,treatment_1,2
2019_01_21,4,8,treatment_1,2
2019_01_22,4,8,treatment_1,2
2019_01_23,4,8,treatment_1,2
2019_01_24,4,8,treatment_1,2
2019_01_25,4,8,treatment_1,2
2019_01_26,4,8,treatment_1,2
2019_01_27,4,8,treatment_1,2
2019_01_28,4,8,treatment_1,2
2019_01_29,4,8,treatment_1,2
2019_01_30,4,8,treatment_1,2
2019_01_31,4,8,treatment_1,2
2019_02_01,4,8,treatment_1,2
2019_02_02,4,8,treatment_1,2
2019_02_03,4,8,treatment_1,2
2019_02_04,4,8,treatment_1,2
2019_02_05,4,8,treatment_1,2
2019_02_06,4,8,treatment_1,2
2019_02_07,4,8,treatment_1,2
2019_02_08,4,8,treatment_1,2
2019_02_09,4,8,treatment_1,2
2019_02_10,4,8,treatment_1,2
2019_02_11,18,16,treatment_1,8
2019_02_12,18,16,treatment_1,8
2019_02_13,18,16,treatment_1,8
2019_02_14,18,16,treatment_1,8
2019_02_15,18,16,treatment_1,8
2019_02_16,18,16,treatment_1,8
2019_02_17,18,16,treatment_1,8
2019_02_18,18,16,treatment_1,8
2019_02_19,18,16,treatment_1,8
2019_02_20,18,16,treatment_1,8
2019_02_21,18,16,treatment_1,8
2019_02_22,18,16,treatment_1,8
2019_02_23,18,16,treatment_1,8
2019_02_24,18,16,treatment_1,8
2019_02_25,18,16,treatment_1,8
2019_02_26,18,16,treatment_1,8
2019_02_27,18,16,treatment_1,8
2019_02_28,18,16,treatment_1,8
2019_03_01,18,16,treatment_1,8
2019_03_02,18,16,treatment_1,8
2019_03_03,18,16,treatment_1,8
2019_03_04,18,16,treatment_1,8
2019_03_05,18,16,treatment_1,8
2019_03_06,18,16,treatment_1,8
2019_03_07,18,16,treatment_1,8
2019_03_08,18,16,treatment_1,8
2019_03_09,18,16,treatment_1,8
2019_03_10,18,16,treatment_1,8
2019_03_11,18,16,treatment_1,8
2019_03_12,18,16,treatment_1,8
2019_03_13,18,16,treatment_1,8
2019_03_14,18,16,treatment_1,8
2019_03_15,18,16,treatment_1,8
2019_03_16,18,16,treatment_1,8
2019_03_17,18,16,treatment_1,8
2019_03_18,18,16,treatment_1,8
2019_03_19,18,16,treatment_1,8
2019_03_20,18,16,treatment_1,8
2019_03_21,18,16,treatment_1,8
2019_03_22,18,16,treatment_1,8
2019_03_23,18,16,treatment_1,8
2019_03_24,18,16,treatment_1,8
2019_03_25,18,16,treatment_1,8
2019_03_26,18,16,treatment_1,8
2019_03_27,18,16,treatment_1,8
2019_03_28,18,16,treatment_1,8
2019_03_29,18,16,treatment_1,8
2019_03_30,18,16,treatment_1,8
2019_03_31,18,16,treatment_1,8
2019_04_01,18,16,treatment_1,8
2019_04_02,18,16,treatment_1,8
2019_04_03,18,16,treatment_1,8
2019_04_04,18,16,treatment_1,8
2019_04_05,18,16,treatment_1,8
2019_04_06,18,16,treatment_1,8
2019_04_07,18,16,treatment_1,8
2019_04_08,18,16,treatment_1,8
2019_04_09,18,16,treatment_1,8
2019_04_10,18,16,treatment_1,100000
2019_04_11,18,16,treatment_1,100000
2019_04_12,18,16,treatment_1,100000
2019_04_13,18,16,treatment_1,100000
2019_04_14,18,16,treatment_1,100000
2019_04_15,18,16,treatment_1,100000
2019_04_16,18,16,treatment_1,100000
2019_04_17,18,16,treatment_1,100000
2019_04_18,18,16,treatment_1,100000
2019_04_19,18,16,treatment_1,100000
2019_04_20,18,16,treatment_1,100000
2019_04_21,18,16,treatment_1,100000
2019_04_22,18,16,treatment_1,100000
2019_04_23,18,16,treatment_1,100000
2019_04_24,18,16,treatment_1,100000
2019_04_25,18,16,treatment_1,100000
2019_04_26,18,16,treatment_1,100000
2019_04_27,18,16,treatment_1,100000
2019_04_28,18,16,treatment_1,100000
2019_04_29,18,16,treatment_1,100000
2019_04_30,18,16,treatment_1,100000
2019_05_01,18,16,treatment_1,100000
2019_05_02,18,16,treatment_1,100000
2019_05_03,18,16,treatment_1,100000
2019_05_04,18,16,treatment_1,100000
2019_05_05,18,16,treatment_1,100000
2019_05_06,18,16,treatment_1,100000
2019_05_07,18,16,treatment_1,100000
2019_05_08,18,16,treatment_1,100000
2019_05_09,18,16,treatment_1,100000
2019_05_10,18,16,treatment_1,100000
2019_05_11,18,16,treatment_1,100000
2019_05_12,18,16,treatment_1,100000
2019_05_13,18,16,treatment_1,100000
2019_05_14,18,16,treatment_1,100000
2019_05_15,18,16,treatment_1,100000
2019_05_16,18,16,treatment_1,100000
2019_05_17,18,16,treatment_1,100000
2019_05_18,18,16,treatment_1,100000
2019_05_19,18,16,treatment_1,100000
2019_05_20,18,16,treatment_1,100000
2019_05_21,18,16,treatment_1,100000
2019_05_22,18,16,treatment_1,100000
2019_05_23,18,16,treatment_1,100000
2019_05_24,18,16,treatment_1,100000
2019_05_25,18,16,treatment_1,100000
2019_05_26,18,16,treatment_1,100000
2019_05_27,18,16,treatment_1,100000
2019_05_28,18,16,treatment_1,100000
2019_05_29,18,16,treatment_1,100000
2019_05_30,18,16,treatment_1,100000
2019_05_31,18,16,treatment_1,100000
2019_06_01,18,16,treatment_1,100000
2019_06_02,18,16,treatment_1,100000
2019_06_03,18,16,treatment_1,100000
2019_06_04,18,16,treatment_1,100000
2019_06_05,18,16,treatment_1,100000
2019_06_06,18,16,treatment_1,100000
2019_06_07,18,16,treatment_1,100000
2019_06_08,18,16,treatment_1,100000
2019_06_09,18,16,treatment_1,100000
2019_06_10,18,16,treatment_1,100000
2019_06_11,18,16,treatment_1,100000
2019_06_12,18,16,treatment_1,100000
2019_06_13,18,16,treatment_1,100000
2019_06_14,18,16,treatment_1,100000
2019_06_15,18,16,treatment_1,100000
2019_06_16,18,16,treatment_1,100000
2019_06_17,18,16,treatment_1,100000
2019_06_18,18,16,treatment_1,100000
2019_06_19,18,16,treatment_1,100000
2019_06_20,18,16,treatment_1,100000
2019_06_21,18,16,treatment_1,100000
2019_06_22,18,16,treatment_1,100000
2019_06_23,18,16,treatment_1,100000
2019_06_24,18,16,treatment_1,100000
2019_06_25,18,16,treatment_1,100000
2019_06_26,18,16,treatment_1,100000
2019_06_27,18,16,treatment_1,100000
2019_06_28,18,16,treatment_1,100000
2019_06_29,18,16,treatment_1,100000
2019_06_30,18,16,treatment_1,100000
2019_07_01,18,16,treatment_1,100000
2019_07_02,18,16,treatment_1,100000
2019_07_03,18,16,treatment_1,100000
2019_07_04,18,16,treatment_1,100000
2019_07_05,18,16,treatment_1,100000
2019_07_06,18,16,treatment_1,100000
2019_07_07,18,16,treatment_1,100000
2019_07_08,18,16,treatment_1,100000
2019_07_09,18,16,treatment_1,100000
2019_07_10,18,16,treatment_1,100000
2019_07_11,18,16,treatment_1,100000
2019_07_12,18,16,treatment_1,100000
2019_07_13,18,16,treatment_1,100000
2019_07_14,18,16,treatment_1,100000
2019_07_15,18,16,treatment_1,100000
2019_07_16,18,16,treatment_1,100000
2019_07_17,18,16,treatment_1,100000
2019_07_18,18,16,treatment_1,100000
2019_07_19,18,16,treatment_1,100000
2019_07_20,18,16,treatment_1,100000
2019_07_21,18,16,treatment_1,100000
2019_07_22,18,16,treatment_1,100000
2019_07_23,18,16,treatment_1,100000
2019_07_24,18,16,treatment_1,100000
2019_07_25,18,16,treatment_1,100000
2019_07_26,18,16,treatment_1,100000
2019_07_27,18,16,treatment_1,100000
2019_07_28,18,16,treatment_1,100000
2019_07_29,18,16,treatment_1,100000
2019_07_30,18,16,treatment_1,100000
2019_07_31,18,16,treatment_1,100000
2018_11_13,15,13,treatment_2,100000
2018_11_14,15,13,treatment_2,100000
2018_11_15,15,13,treatment_2,100000
2018_11_16,15,13,treatment_2,100000
2018_11_17,15,13,treatment_2,100000
2018_11_18,15,13,treatment_2,100000
2018_11_19,15,13,treatment_2,100000
2018_11_20,15,13,treatment_2,100000
2018_11_21,15,13,treatment_2,100000
2018_11_22,15,13,treatment_2,100000
2018_11_23,15,13,treatment_2,100000
2018_11_24,15,13,treatment_2,100000
2018_11_25,15,13,treatment_2,100000
2018_11_26,15,13,treatment_2,100000
2018_11_27,15,13,treatment_2,100000
2018_11_28,15,13,treatment_2,100000
2018_11_29,15,13,treatment_2,100000
2018_11_30,15,13,treatment_2,100000
2018_12_01,15,13,treatment_2,100000
2018_12_02,15,13,treatment_2,100000
2018_12_03,15,13,treatment_2,100000
2018_12_04,15,13,treatment_2,100000
2018_12_05,15,13,treatment_2,100000
2018_12_06,15,13,treatment_2,100000
2018_12_07,15,13,treatment_2,100000
2018_12_08,15,13,treatment_2,100000
2018_12_09,15,13,treatment_2,100000
2018_12_10,15,13,treatment_2,100000
2018_12_11,15,13,treatment_2,100000
2018_12_12,4,8,treatment_2,100000
2018_12_13,4,8,treatment_2,100000
2018_12_14,4,8,treatment_2,100000
2018_12_15,4,8,treatment_2,100000
2018_12_16,4,8,treatment_2,100000
2018_12_17,4,8,treatment_2,100000
2018_12_18,4,8,treatment_2,100000
2018_12_19,4,8,treatment_2,100000
2018_12_20,4,8,treatment_2,100000
2018_12_21,4,8,treatment_2,100000
2018_12_22,4,8,treatment_2,100000
2018_12_23,4,8,treatment_2,100000
2018_12_24,4,8,treatment_2,100000
2018_12_25,4,8,treatment_2,100000
2018_12_26,4,8,treatment_2,100000
2018_12_27,4,8,treatment_2,100000
2018_12_28,4,8,treatment_2,100000
2018_12_29,4,8,treatment_2,100000
2018_12_30,4,8,treatment_2,100000
2018_12_31,4,8,treatment_2,100000
2019_01_01,4,8,treatment_2,100000
2019_01_02,4,8,treatment_2,100000
2019_01_03,4,8,treatment_2,100000
2019_01_04,4,8,treatment_2,100000
2019_01_05,4,8,treatment_2,100000
2019_01_06,4,8,treatment_2,100000
2019_01_07,4,8,treatment_2,100000
2019_01_08,4,8,treatment_2,100000
2019_01_09,4,8,treatment_2,100000
2019_01_10,4,8,treatment_2,100000
2019_01_11,4,8,treatment_2,100000
2019_01_12,4,8,treatment_2,100000
2019_01_13,4,8,treatment_2,100000
2019_01_14,4,8,treatment_2,100000
2019_01_15,4,8,treatment_2,100000
2019_01_16,4,8,treatment_2,100000
2019_01_17,4,8,treatment_2,100000
2019_01_18,4,8,treatment_2,100000
2019_01_19,4,8,treatment_2,100000
2019_01_20,4,8,treatment_2,100000
2019_01_21,4,8,treatment_2,100000
2019_01_22,4,8,treatment_2,100000
2019_01_23,4,8,treatment_2,100000
2019_01_24,4,8,treatment_2,100000
2019_01_25,4,8,treatment_2,100000
2019_01_26,4,8,treatment_2,100000
2019_01_27,4,8,treatment_2,100000
2019_01_28,4,8,treatment_2,100000
2019_01_29,4,8,treatment_2,100000
2019_01_30,4,8,treatment_2,100000
2019_01_31,4,8,treatment_2,100000
2019_02_01,4,8,treatment_2,100000
2019_02_02,4,8,treatment_2,100000
2019_02_03,4,8,treatment_2,100000
2019_02_04,4,8,treatment_2,100000
2019_02_05,4,8,treatment_2,100000
2019_02_06,4,8,treatment_2,100000
2019_02_07,4,8,treatment_2,100000
2019_02_08,4,8,treatment_2,100000
2019_02_09,4,8,treatment_2,100000
2019_02_10,4,8,treatment_2,100000
2019_02_11,18,8,treatment_2,100000
2019_02_12,18,8,treatment_2,100000
2019_02_13,18,8,treatment_2,100000
2019_02_14,18,8,treatment_2,100000
2019_02_15,18,8,treatment_2,100000
2019_02_16,18,8,treatment_2,100000
2019_02_17,18,8,treatment_2,100000
2019_02_18,18,8,treatment_2,100000
2019_02_19,18,8,treatment_2,100000
2019_02_20,18,8,treatment_2,100000
2019_02_21,18,8,treatment_2,100000
2019_02_22,18,8,treatment_2,100000
2019_02_23,18,8,treatment_2,100000
2019_02_24,18,8,treatment_2,100000
2019_02_25,18,8,treatment_2,100000
2019_02_26,18,8,treatment_2,100000
2019_02_27,18,8,treatment_2,100000
2019_02_28,18,8,treatment_2,100000
2019_03_01,18,8,treatment_2,100000
2019_03_02,18,8,treatment_2,100000
2019_03_03,18,8,treatment_2,100000
2019_03_04,18,8,treatment_2,100000
2019_03_05,18,16,treatment_2,100000
2019_03_06,18,16,treatment_2,100000
2019_03_07,18,16,treatment_2,100000
2019_03_08,18,16,treatment_2,100000
2019_03_09,18,16,treatment_2,100000
2019_03_10,18,16,treatment_2,100000
2019_03_11,18,16,treatment_2,100000
2019_03_12,18,16,treatment_2,100000
2019_03_13,18,16,treatment_2,100000
2019_03_14,18,16,treatment_2,100000
2019_03_15,18,16,treatment_2,100000
2019_03_16,18,16,treatment_2,100000
2019_03_17,18,16,treatment_2,100000
2019_03_18,18,16,treatment_2,100000
2019_03_19,18,16,treatment_2,100000
2019_03_20,18,16,treatment_2,100000
2019_03_21,18,16,treatment_2,100000
2019_03_22,18,16,treatment_2,100000
2019_03_23,18,16,treatment_2,100000
2019_03_24,18,16,treatment_2,100000
2019_03_25,18,16,treatment_2,100000
2019_03_26,18,16,treatment_2,100000
2019_03_27,18,16,treatment_2,100000
2019_03_28,18,16,treatment_2,100000
2019_03_29,18,16,treatment_2,100000
2019_03_30,18,16,treatment_2,100000
2019_03_31,18,16,treatment_2,100000
2019_04_01,18,16,treatment_2,100000
2019_04_02,18,16,treatment_2,100000
2019_04_03,18,16,treatment_2,100000
2019_04_04,18,16,treatment_2,100000
2019_04_05,18,16,treatment_2,100000
2019_04_06,18,16,treatment_2,100000
2019_04_07,18,16,treatment_2,100000
2019_04_08,18,16,treatment_2,100000
2019_04_09,18,16,treatment_2,100000
2019_04_10,18,16,treatment_2,100000
2019_04_11,18,16,treatment_2,100000
2019_04_12,18,16,treatment_2,100000
2019_04_13,18,16,treatment_2,100000
2019_04_14,18,16,treatment_2,100000
2019_04_15,18,16,treatment_2,100000
2019_04_16,18,16,treatment_2,100000
2019_04_17,18,16,treatment_2,100000
2019_04_18,18,16,treatment_2,100000
2019_04_19,18,16,treatment_2,100000
2019_04_20,18,16,treatment_2,100000
2019_04_21,18,16,treatment_2,100000
2019_04_22,18,16,treatment_2,100000
2019_04_23,18,16,treatment_2,100000
2019_04_24,18,16,treatment_2,100000
2019_04_25,18,16,treatment_2,100000
2019_04_26,18,16,treatment_2,100000
2019_04_27,18,16,treatment_2,100000
2019_04_28,18,16,treatment_2,100000
2019_04_29,18,16,treatment_2,100000
2019_04_30,18,16,treatment_2,100000
2019_05_01,18,16,treatment_2,100000
2019_05_02,18,16,treatment_2,100000
2019_05_03,18,16,treatment_2,100000
2019_05_04,18,16,treatment_2,100000
2019_05_05,18,16,treatment_2,100000
2019_05_06,18,16,treatment_2,100000
2019_05_07,18,16,treatment_2,100000
2019_05_08,18,16,treatment_2,100000
2019_05_09,18,16,treatment_2,100000
2019_05_10,18,16,treatment_2,100000
2019_05_11,18,16,treatment_2,100000
2019_05_12,18,16,treatment_2,100000
2019_05_13,18,16,treatment_2,100000
2019_05_14,18,16,treatment_2,100000
2019_05_15,18,16,treatment_2,100000
2019_05_16,18,16,treatment_2,100000
2019_05_17,18,16,treatment_2,100000
2019_05_18,18,16,treatment_2,100000
2019_05_19,18,16,treatment_2,100000
2019_05_20,18,16,treatment_2,100000
2019_05_21,18,16,treatment_2,100000
2019_05_22,18,16,treatment_2,100000
2019_05_23,18,16,treatment_2,100000
2019_05_24,18,16,treatment_2,100000
2019_05_25,18,16,treatment_2,100000
2019_05_26,18,16,treatment_2,100000
2019_05_27,18,16,treatment_2,100000
2019_05_28,18,16,treatment_2,100000
2019_05_29,18,16,treatment_2,100000
2019_05_30,18,16,treatment_2,100000
2019_05_31,18,16,treatment_2,100000
2019_06_01,18,16,treatment_2,100000
2019_06_02,18,16,treatment_2,100000
2019_06_03,18,16,treatment_2,100000
2019_06_04,18,16,treatment_2,100000
2019_06_05,18,16,treatment_2,100000
2019_06_06,18,16,treatment_2,100000
2019_06_07,18,16,treatment_2,100000
2019_06_08,18,16,treatment_2,100000
2019_06_09,18,16,treatment_2,100000
2019_06_10,18,16,treatment_2,100000
2019_06_11,18,16,treatment_2,100000
2019_06_12,18,16,treatment_2,100000
2019_06_13,18,16,treatment_2,100000
2019_06_14,18,16,treatment_2,100000
2019_06_15,18,16,treatment_2,100000
2019_06_16,18,16,treatment_2,100000
2019_06_17,18,16,treatment_2,100000
2019_06_18,18,16,treatment_2,100000
2019_06_19,18,16,treatment_2,100000
2019_06_20,18,16,treatment_2,100000
2019_06_21,18,16,treatment_2,100000
2019_06_22,18,16,treatment_2,100000
2019_06_23,18,16,treatment_2,100000
2019_06_24,18,16,treatment_2,100000
2019_06_25,18,16,treatment_2,100000
2019_06_26,18,16,treatment_2,100000
2019_06_27,18,16,treatment_2,100000
2019_06_28,18,16,treatment_2,100000
2019_06_29,18,16,treatment_2,100000
2019_06_30,18,16,treatment_2,100000
2019_07_01,18,16,treatment_2,100000
2019_07_02,18,16,treatment_2,100000
2019_07_03,18,16,treatment_2,100000
2019_07_04,18,16,treatment_2,100000
2019_07_05,18,16,treatment_2,100000
2019_07_06,18,16,treatment_2,100000
2019_07_07,18,16,treatment_2,100000
2019_07_08,18,16,treatment_2,100000
2019_07_09,18,16,treatment_2,100000
2019_07_10,18,16,treatment_2,100000
2019_07_11,18,16,treatment_2,100000
2019_07_12,18,16,treatment_2,100000
2019_07_13,18,16,treatment_2,100000
2019_07_14,18,16,treatment_2,100000
2019_07_15,18,16,treatment_2,100000
2019_07_16,18,16,treatment_2,100000
2019_07_17,18,16,treatment_2,100000
2019_07_18,18,16,treatment_2,100000
2019_07_19,18,16,treatment_2,100000
2019_07_20,18,16,treatment_2,100000
2019_07_21,18,16,treatment_2,100000
2019_07_22,18,16,treatment_2,100000
2019_07_23,18,16,treatment_2,100000
2019_07_24,18,16,treatment_2,100000
2019_07_25,18,16,treatment_2,100000
2019_07_26,18,16,treatment_2,100000
2019_07_27,18,16,treatment_2,100000
2019_07_28,18,16,treatment_2,100000
2019_07_29,18,16,treatment_2,100000
2019_07_30,18,16,treatment_2,100000
2019_07_31,18,16,treatment_2,100000
2018_11_13,15,13,treatment_3,100000
2018_11_14,15,13,treatment_3,100000
2018_11_15,15,13,treatment_3,100000
2018_11_16,15,13,treatment_3,100000
2018_11_17,15,13,treatment_3,100000
2018_11_18,15,13,treatment_3,100000
2018_11_19,15,13,treatment_3,100000
2018_11_20,15,13,treatment_3,100000
2018_11_21,15,13,treatment_3,100000
2018_11_22,15,13,treatment_3,100000
2018_11_23,15,13,treatment_3,100000
2018_11_24,15,13,treatment_3,100000
2018_11_25,15,13,treatment_3,100000
2018_11_26,15,13,treatment_3,100000
2018_11_27,15,13,treatment_3,100000
2018_11_28,15,13,treatment_3,100000
2018_11_29,15,13,treatment_3,100000
2018_11_30,15,13,treatment_3,100000
2018_12_01,15,13,treatment_3,100000
2018_12_02,15,13,treatment_3,100000
2018_12_03,15,13,treatment_3,100000
2018_12_04,15,13,treatment_3,100000
2018_12_05,15,13,treatment_3,100000
2018_12_06,15,13,treatment_3,100000
2018_12_07,15,13,treatment_3,100000
2018_12_08,15,13,treatment_3,100000
2018_12_09,15,13,treatment_3,100000
2018_12_10,15,13,treatment_3,100000
2018_12_11,15,13,treatment_3,100000
2018_12_12,4,8,treatment_3,100000
2018_12_13,4,8,treatment_3,100000
2018_12_14,4,8,treatment_3,100000
2018_12_15,4,8,treatment_3,100000
2018_12_16,4,8,treatment_3,100000
2018_12_17,4,8,treatment_3,100000
2018_12_18,4,8,treatment_3,100000
2018_12_19,4,8,treatment_3,100000
2018_12_20,4,8,treatment_3,100000
2018_12_21,4,8,treatment_3,100000
2018_12_22,4,8,treatment_3,100000
2018_12_23,4,8,treatment_3,100000
2018_12_24,4,8,treatment_3,100000
2018_12_25,4,8,treatment_3,100000
2018_12_26,4,8,treatment_3,100000
2018_12_27,4,8,treatment_3,100000
2018_12_28,4,8,treatment_3,100000
2018_12_29,4,8,treatment_3,100000
2018_12_30,4,8,treatment_3,100000
2018_12_31,4,8,treatment_3,100000
2019_01_01,4,8,treatment_3,100000
2019_01_02,4,8,treatment_3,100000
2019_01_03,4,8,treatment_3,100000
2019_01_04,4,8,treatment_3,100000
2019_01_05,4,8,treatment_3,100000
2019_01_06,4,8,treatment_3,100000
2019_01_07,4,8,treatment_3,100000
2019_01_08,4,8,treatment_3,100000
2019_01_09,4,8,treatment_3,100000
2019_01_10,4,8,treatment_3,100000
2019_01_11,4,8,treatment_3,100000
2019_01_12,4,8,treatment_3,100000
2019_01_13,4,8,treatment_3,100000
2019_01_14,4,8,treatment_3,100000
2019_01_15,4,8,treatment_3,100000
2019_01_16,4,8,treatment_3,100000
2019_01_17,4,8,treatment_3,100000
2019_01_18,4,8,treatment_3,100000
2019_01_19,4,8,treatment_3,100000
2019_01_20,4,8,treatment_3,100000
2019_01_21,4,8,treatment_3,100000
2019_01_22,4,8,treatment_3,100000
2019_01_23,4,8,treatment_3,100000
2019_01_24,4,8,treatment_3,100000
2019_01_25,4,8,treatment_3,100000
2019_01_26,4,8,treatment_3,100000
2019_01_27,4,8,treatment_3,100000
2019_01_28,4,8,treatment_3,100000
2019_01_29,4,8,treatment_3,100000
2019_01_30,4,8,treatment_3,100000
2019_01_31,4,8,treatment_3,100000
2019_02_01,4,8,treatment_3,100000
2019_02_02,4,8,treatment_3,100000
2019_02_03,4,8,treatment_3,100000
2019_02_04,4,8,treatment_3,100000
2019_02_05,4,8,treatment_3,100000
2019_02_06,4,8,treatment_3,100000
2019_02_07,4,8,treatment_3,100000
2019_02_08,4,8,treatment_3,100000
2019_02_09,4,8,treatment_3,100000
2019_02_10,4,8,treatment_3,100000
2019_02_11,18,8,treatment_3,100000
2019_02_12,18,8,treatment_3,100000
2019_02_13,18,8,treatment_3,100000
2019_02_14,18,8,treatment_3,100000
2019_02_15,18,8,treatment_3,100000
2019_02_16,18,8,treatment_3,100000
2019_02_17,18,8,treatment_3,100000
2019_02_18,18,8,treatment_3,100000
2019_02_19,18,8,treatment_3,100000
2019_02_20,18,8,treatment_3,100000
2019_02_21,18,8,treatment_3,100000
2019_02_22,18,8,treatment_3,100000
2019_02_23,18,8,treatment_3,100000
2019_02_24,18,8,treatment_3,100000
2019_02_25,18,8,treatment_3,100000
2019_02_26,18,8,treatment_3,100000
2019_02_27,18,8,treatment_3,100000
2019_02_28,18,8,treatment_3,100000
2019_03_01,18,8,treatment_3,100000
2019_03_02,18,8,treatment_3,100000
2019_03_03,18,8,treatment_3,100000
2019_03_04,18,8,treatment_3,100000
2019_03_05,18,8,treatment_3,100000
2019_03_06,18,8,treatment_3,100000
2019_03_07,18,8,treatment_3,100000
2019_03_08,18,8,treatment_3,100000
2019_03_09,18,8,treatment_3,100000
2019_03_10,18,8,treatment_3,100000
2019_03_11,18,8,treatment_3,100000
2019_03_12,18,8,treatment_3,100000
2019_03_13,18,8,treatment_3,100000
2019_03_14,18,8,treatment_3,100000
2019_03_15,18,8,treatment_3,100000
2019_03_16,18,8,treatment_3,100000
2019_03_17,18,8,treatment_3,100000
2019_03_18,18,8,treatment_3,100000
2019_03_19,18,8,treatment_3,100000
2019_03_20,18,8,treatment_3,100000
2019_03_21,18,8,treatment_3,100000
2019_03_22,18,8,treatment_3,100000
2019_03_23,18,8,treatment_3,100000
2019_03_24,18,8,treatment_3,100000
2019_03_25,18,8,treatment_3,100000
2019_03_26,18,16,treatment_3,100000
2019_03_27,18,16,treatment_3,100000
2019_03_28,18,16,treatment_3,100000
2019_03_29,18,16,treatment_3,100000
2019_03_30,18,16,treatment_3,100000
2019_03_31,18,16,treatment_3,100000
2019_04_01,18,16,treatment_3,100000
2019_04_02,18,16,treatment_3,100000
2019_04_03,18,16,treatment_3,100000
2019_04_04,18,16,treatment_3,100000
2019_04_05,18,16,treatment_3,100000
2019_04_06,18,16,treatment_3,100000
2019_04_07,18,16,treatment_3,100000
2019_04_08,18,16,treatment_3,100000
2019_04_09,18,16,treatment_3,100000
2019_04_10,18,16,treatment_3,100000
2019_04_11,18,16,treatment_3,100000
2019_04_12,18,16,treatment_3,100000
2019_04_13,18,16,treatment_3,100000
2019_04_14,18,16,treatment_3,100000
2019_04_15,18,16,treatment_3,100000
2019_04_16,18,16,treatment_3,100000
2019_04_17,18,16,treatment_3,100000
2019_04_18,18,16,treatment_3,100000
2019_04_19,18,16,treatment_3,100000
2019_04_20,18,16,treatment_3,100000
2019_04_21,18,16,treatment_3,100000
2019_04_22,18,16,treatment_3,100000
2019_04_23,18,16,treatment_3,100000
2019_04_24,18,16,treatment_3,100000
2019_04_25,18,16,treatment_3,100000
2019_04_26,18,16,treatment_3,100000
2019_04_27,18,16,treatment_3,100000
2019_04_28,18,16,treatment_3,100000
2019_04_29,18,16,treatment_3,100000
2019_04_30,18,16,treatment_3,100000
2019_05_01,18,16,treatment_3,100000
2019_05_02,18,16,treatment_3,100000
2019_05_03,18,16,treatment_3,100000
2019_05_04,18,16,treatment_3,100000
2019_05_05,18,16,treatment_3,100000
2019_05_06,18,16,treatment_3,100000
2019_05_07,18,16,treatment_3,100000
2019_05_08,18,16,treatment_3,100000
2019_05_09,18,16,treatment_3,100000
2019_05_10,18,16,treatment_3,100000
2019_05_11,18,16,treatment_3,100000
2019_05_12,18,16,treatment_3,100000
2019_05_13,18,16,treatment_3,100000
2019_05_14,18,16,treatment_3,100000
